U_DPTO,U_MPIO,UA_CLASE,UA1_LOCALIDAD,U_SECT_RUR,U_SECC_RUR,UA2_CPOB,U_SECT_URB,U_SECC_URB,U_MZA,U_EDIFICA,COD_ENCUESTAS,U_VIVIENDA,COD_DANE_ANM
11,1,1,4,0,0,0,1325,1,5,1,512089,5,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,1,512097,3,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,1,512116,4,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,1,512486,2,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,1,589769,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,2,512162,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,3,589779,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,4,589423,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,5,512490,2,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,5,512495,3,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,5,512500,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,6,512312,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,7,512294,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,8,589791,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,8,589793,2,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,8,750525,3,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,8,750528,4,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,9,589801,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,10,512267,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,11,512269,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,11,512276,2,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,11,589451,3,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,12,512265,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,12,589641,2,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,13,512251,2,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,13,512256,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,13,512259,3,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,13,512477,4,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,14,589468,2,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,14,589785,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,15,589653,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,15,589661,2,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,15,748924,3,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,16,512244,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,17,589766,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,18,512103,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,18,512479,2,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,19,589787,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,20,748810,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,21,512072,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,22,512086,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,5,23,902168793,1,1100110000000013250105
11,1,1,4,0,0,0,1325,1,12,1,589429,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,2,589677,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,2,900944973,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,3,589667,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,3,901078977,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,5,589413,2,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,5,748862,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,5,748877,3,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,5,1032898,4,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,6,748857,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,7,589811,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,8,589772,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,9,589777,2,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,9,589781,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,9,749312,3,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,9,749475,4,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,10,3504835,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,11,749739,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,12,750550,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,13,750534,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,13,750549,2,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,14,589764,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,15,589760,1,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,15,749721,2,1100110000000013250112
11,1,1,4,0,0,0,1325,1,12,16,749674,1,1100110000000013250112
