TIPO_REG,U_DPTO,U_MPIO,UA_CLASE,COD_ENCUESTAS,U_VIVIENDA,P_NROHOG,P_NRO_PER,P_SEXO,P_EDADR,P_PARENTESCOR,PA1_GRP_ETNIC,PA11_COD_ETNIA,PA12_CLAN,PA21_COD_VITSA,PA22_COD_KUMPA,PA_HABLA_LENG,PA1_ENTIENDE,PB_OTRAS_LENG,PB1_QOTRAS_LENG,PA_LUG_NAC,PA_VIVIA_5ANOS,PA_VIVIA_1ANO,P_ENFERMO,P_QUEHIZO_PPAL,PA_LO_ATENDIERON,PA1_CALIDAD_SERV,CONDICION_FISICA,P_ALFABETA,PA_ASISTENCIA,P_NIVEL_ANOSR,P_TRABAJO,P_EST_CIVIL,PA_HNV,PA1_THNV,PA2_HNVH,PA3_HNVM,PA_HNVS,PA1_THSV,PA2_HSVH,PA3_HSVM,PA_HFC,PA1_THFC,PA2_HFCH,PA3_HFCM,PA_UHNV,PA1_MES_UHNV,PA2_ANO_UHNV
5,11,1,1,512072,1,1,5,1,1,3,6,,,,,,,,,1,1,2,2,,,,2,,,,,,,,,,,,,,,,,,,,
5,11,1,1,512072,1,1,6,2,6,2,6,,,,,,,,,1,2,2,2,,,,1,1,2,4,4,1,1,2,2,0,1,2,2,0,1,0,0,0,1,12,2015
5,11,1,1,512072,1,1,7,1,7,1,6,,,,,,,,,2,2,2,2,,,,2,1,2,4,1,1,,,,,,,,,,,,,,,
5,11,1,1,512072,1,1,8,1,2,3,6,,,,,,,,,1,2,2,2,,,,2,1,1,1,,,,,,,,,,,,,,,,,
5,11,1,1,512072,1,2,1,1,2,3,6,,,,,,,,,1,2,2,2,,,,1,1,1,2,,,,,,,,,,,,,,,,,
5,11,1,1,512072,1,2,2,1,6,1,6,,,,,,,,,2,2,2,2,,,,2,1,2,4,1,1,,,,,,,,,,,,,,,
5,11,1,1,512072,1,2,3,2,2,3,6,,,,,,,,,2,3,2,2,,,,1,1,1,2,,,,,,,,,,,,,,,,,
5,11,1,1,512072,1,2,4,2,6,2,6,,,,,,,,,2,3,2,1,1,1,1,1,1,2,3,4,1,1,1,0,1,1,1,0,1,1,0,0,0,1,6,2010
5,11,1,1,512072,1,3,9,2,13,2,6,,,,,,,,,1,2,2,2,,,,2,1,2,3,7,2,1,2,1,1,1,2,1,1,1,0,0,0,1,6,1980
5,11,1,1,512072,1,3,10,1,14,1,6,,,,,,,,,2,2,2,2,,,,2,1,2,3,5,2,,,,,,,,,,,,,,,
5,11,1,1,512072,1,3,11,1,8,3,6,,,,,,,,,1,2,2,1,1,1,4,1,1,2,3,8,7,,,,,,,,,,,,,,,
5,11,1,1,512086,1,1,1,1,14,1,6,,,,,,,,,2,2,2,2,,,,2,1,2,3,4,7,,,,,,,,,,,,,,,
5,11,1,1,512089,5,1,1,2,2,3,6,,,,,,,,,1,2,2,2,,,,2,1,1,2,,,,,,,,,,,,,,,,,
5,11,1,1,512089,5,1,2,1,1,3,6,,,,,,,,,1,1,2,2,,,,2,,,,,,,,,,,,,,,,,,,,
5,11,1,1,512089,5,1,3,2,7,2,6,,,,,,,,,1,2,2,2,,,,2,1,2,7,1,2,1,2,1,1,1,2,1,1,1,0,0,0,1,11,2016
5,11,1,1,512089,5,1,4,1,7,1,6,,,,,,,,,1,2,2,2,,,,2,1,2,2,1,2,,,,,,,,,,,,,,,
5,11,1,1,512089,5,1,5,1,3,3,6,,,,,,,,,1,2,2,2,,,,2,1,1,2,6,7,,,,,,,,,,,,,,,
5,11,1,1,512097,3,1,1,2,4,3,6,,,,,,,,,1,2,2,2,,,,2,1,1,8,6,7,2,,,,,,,,,,,,,,
5,11,1,1,512097,3,1,2,1,11,1,6,,,,,,,,,1,2,2,2,,,,2,1,2,2,1,1,,,,,,,,,,,,,,,
