TIPO_REG,U_DPTO,U_MPIO,UA_CLASE,U_EDIFICA,COD_ENCUESTAS,U_VIVIENDA,UVA_ESTATER,UVA1_TIPOTER,UVA2_CODTER,UVA_ESTA_AREAPROT,UVA1_COD_AREAPROT,UVA_USO_UNIDAD,V_TIPO_VIV,V_CON_OCUP,V_TOT_HOG,V_MAT_PARED,V_MAT_PISO,VA_EE,VA1_ESTRATO,VB_ACU,VC_ALC,VD_GAS,VE_RECBAS,VE1_QSEM,VF_INTERNET,V_TIPO_SERSA,L_TIPO_INST,L_EXISTEHOG,L_TOT_PERL
1,11,1,1,1,512089,5,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,512097,3,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,512116,4,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,512157,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,512172,1,,,,2,,1,1,1,1,1,6,1,1,1,1,1,1,2,2,1,,,
1,11,1,1,1,512176,3,,,,2,,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,512177,2,,,,2,,1,1,1,1,3,6,1,1,2,2,2,1,3,2,2,,,
1,11,1,1,1,512204,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,512486,2,,,,2,,1,3,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,512554,4,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,,
1,11,1,1,1,589429,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,589769,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,589796,3,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17363885,4,,,,2,,2,1,1,1,1,4,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,17363933,5,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,17895072,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17895084,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17895127,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17895140,1,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17895160,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17895171,1,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17895337,3,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17895357,2,,,,2,,1,3,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17895384,1,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17895690,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17896075,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17896117,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17896161,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17896164,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17896176,2,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17896715,1,,,,2,,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,17897142,1,,,,2,,1,1,1,1,6,5,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17897204,1,,,,2,,1,1,1,1,3,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17897303,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17917922,2,,,,1,2022,1,2,1,1,1,4,1,1,1,1,2,1,3,1,1,,,
1,11,1,1,1,17917928,1,,,,1,2022,1,2,1,1,1,2,1,1,1,1,2,1,3,1,1,,,
1,11,1,1,1,17918196,1,,,,1,2022,1,1,1,1,1,4,1,1,2,1,1,2,,2,1,,,
1,11,1,1,1,17918238,1,,,,1,2022,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,17918308,2,,,,1,2022,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17918365,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17918373,1,,,,2,,1,1,1,1,1,6,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17918452,1,,,,2,,1,1,1,1,1,4,1,1,2,2,1,1,3,2,2,,,
1,11,1,1,1,17918612,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17918878,1,,,,1,2022,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,17918916,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17918971,1,,,,2,,1,6,1,1,3,4,1,1,1,2,2,1,3,2,2,,,
1,11,1,1,1,17918979,4,,,,2,,2,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17918985,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17919058,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17919326,1,,,,1,2022,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17919338,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17919664,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17921249,1,,,,1,2022,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,17981786,1,,,,2,,1,1,1,1,6,4,1,1,1,1,2,1,3,2,1,,,
1,11,1,1,1,17981805,1,,,,1,2022,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17981822,1,,,,2,,1,1,2,,,,,,,,,,,,,,,
1,11,1,1,1,17981830,2,,,,2,,1,1,1,1,1,2,1,1,2,2,1,1,3,2,2,,,
1,11,1,1,1,17981880,4,,,,2,,1,2,2,,,,,,,,,,,,,,,
1,11,1,1,1,17981888,3,,,,2,,1,1,2,,,,,,,,,,,,,,,
1,11,1,1,1,17981926,2,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17981993,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17981994,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17982017,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17982035,2,,,,2,,1,1,2,,,,,,,,,,,,,,,
1,11,1,1,1,17982072,2,,,,2,,1,3,1,1,6,4,1,1,1,1,2,1,3,2,1,,,
1,11,1,1,1,17982078,1,,,,2,,1,1,2,,,,,,,,,,,,,,,
1,11,1,1,1,17982082,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17982098,4,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,17982224,1,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,17982248,1,,,,2,,1,2,1,1,8,6,1,1,1,1,2,2,,2,1,,,
1,11,1,1,1,18087875,1,,,,2,,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,18088082,1,,,,2,,1,1,1,2,1,4,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18088086,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18088203,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18088221,1,,,,2,,1,1,1,1,3,4,1,1,1,1,2,1,2,1,1,,,
1,11,1,1,1,18088239,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18088257,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18088274,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18088385,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18088404,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,2,2,1,,,
1,11,1,1,1,18088472,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18088493,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18088593,1,,,,2,,1,1,1,1,1,4,1,1,1,1,2,1,3,2,1,,,
1,11,1,1,1,18088804,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18088930,2,,,,2,,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18088956,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18089005,2,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18089088,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18089345,2,,,,2,,1,2,4,,,,,,,,,,,,,,,
1,11,1,1,1,18089555,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18089618,1,,,,2,,1,2,1,1,1,4,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18199350,1,,,,2,,1,1,2,,,,,,,,,,,,,,,
1,11,1,1,1,18202794,1,,,,1,2022,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18202807,2,,,,1,2022,1,1,1,1,1,4,1,1,1,1,1,1,2,2,1,,,
1,11,1,1,1,18206787,3,,,,1,2022,1,1,1,1,1,4,1,1,1,1,1,1,2,2,1,,,
1,11,1,1,1,18207105,1,,,,1,2022,1,1,1,1,1,6,1,1,2,2,2,2,,2,2,,,
1,11,1,1,1,18330472,1,,,,2,,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,18330486,2,,,,2,,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,18374586,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18374623,4,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18374637,3,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18374647,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,,,
1,11,1,1,1,18374659,1,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18374672,1,,,,2,,1,2,1,1,1,4,1,2,1,1,2,1,3,2,1,,,
1,11,1,1,1,18374676,3,,,,2,,1,3,1,1,1,4,1,2,1,1,2,1,3,2,1,,,
1,11,1,1,1,18374692,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18374706,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18374735,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18374763,2,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18374764,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18374773,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18374784,1,,,,2,,1,2,1,1,1,4,1,1,1,1,1,1,2,2,1,,,
1,11,1,1,1,18374804,3,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,2,2,1,,,
1,11,1,1,1,18374826,4,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,,,
1,11,1,1,1,18374853,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,,,
1,11,1,1,1,18374916,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18374940,2,,,,1,2022,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18374960,1,,,,1,2022,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18374961,3,,,,1,2022,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18375138,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18375154,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18375283,3,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18375291,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18375301,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18379142,1,,,,1,2022,1,1,1,1,3,5,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18379211,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18379217,1,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18379370,2,,,,1,2022,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18379372,1,,,,1,2022,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18379392,3,,,,2,,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18379401,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18379409,1,,,,2,,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18379422,2,,,,2,,1,2,4,,,,,,,,,,,,,,,
1,11,1,1,1,18379426,1,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18379438,1,,,,2,,1,2,3,,,,,,,,,,,,,,,
1,11,1,1,1,18379439,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18379535,4,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18379586,3,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18379635,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18379705,2,,,,2,,2,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18380111,1,,,,2,,1,2,3,,,,,,,,,,,,,,,
1,11,1,1,1,18380128,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18380153,3,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18433098,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18433110,1,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18433788,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18433936,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18479573,3,,,,2,,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,18479579,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18479586,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18494637,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18494645,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18494670,2,,,,2,,1,2,1,1,1,4,1,1,1,1,1,2,,2,1,,,
1,11,1,1,1,18494714,2,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18494726,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18494742,1,,,,2,,1,1,1,1,3,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18494811,1,,,,2,,2,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18494813,4,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18494815,3,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18494817,2,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,,,
1,11,1,1,1,18494821,1,,,,2,,1,2,1,1,1,5,1,1,1,1,1,1,1,2,9,,,
1,11,1,1,1,18494893,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18494903,1,,,,2,,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18548749,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18549022,4,,,,2,,1,1,1,1,3,4,1,1,1,1,1,1,3,2,1,,,
1,11,1,1,1,18549082,1,,,,2,,1,1,3,,,,,,,,,,,,,,,
1,11,1,1,1,18550183,1,,,,2,,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,,,
1,11,1,1,1,18550206,3,,,,2,,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,,,
1,11,1,1,1,18561728,1,,,,2,,1,1,4,,,,,,,,,,,,,,,
1,11,1,1,1,18561748,1,,,,2,,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,,,
1,11,1,1,1,18561833,1,,,,2,,1,3,2,,,,,,,,,,,,,,,
1,11,1,1,1,18561877,1,,,,2,,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,,,
