BARRIO_OJD,MANCODIGO,SECCODIGO,SCANOMBRE,DPTO_CCDGO,MPIO_CCDGO,CLAS_CCDGO,LOC_COD,LOC_NOMBRE,UPZ_COD,UPZ_NOMBRE,SETR_CCDGO,SECR_CCDGO,CPOB_CCDGO,SETU_CCDGO,SECU_CCDGO,MANZ_CCDGO,MANZ_CCNCT,MANZ_CAG,AREA,LENGTH
Juan Jose Rondon I,1336015,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,14,1100110000000013280514,175692,1870.475721,0.001839423
Juan Jose Rondon I,1336016,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,12,1100110000000013280512,175720,1309.11879,0.001419138
Juan Jose Rondon I,1336017,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,11,1100110000000013280511,175733,1309.10732,0.001419056
Juan Jose Rondon I,1336018,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,23,1100110000000013280523,175630,2012.304044,0.001949071
Juan Jose Rondon I,1336019,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,22,1100110000000013280522,175624,2014.331581,0.001950548
Juan Jose Rondon I,1336020,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,27,1100110000000013280527,175597,1443.649493,0.001521164
Juan Jose Rondon I,1336021,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,24,1100110000000013280524,175542,575.5294708,0.000866224
Juan Jose Rondon I,1336022,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,5,1100110000000013280505,175558,575.5294726,0.000866228
Juan Jose Rondon I,1336023,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,4,1100110000000013280504,175580,575.5263516,0.000866242
Juan Jose Rondon I,1336024,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,3,1100110000000013280503,175589,575.5626033,0.000866246
Juan Jose Rondon I,1336001,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,21,1100110000000013280521,175665,1825.433295,0.001800496
Juan Jose Rondon I,1336005,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,6,1100110000000013280506,175588,1448.3674,0.001524407
Juan Jose Rondon I,1336026,1336,JUAN JOSE RONDON I,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,17,1100110000000013280517,175531,3596.506968,0.002372612
Juan Jose Rondon I,1344020,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,6,8,1100110000000013280608,175652,1294.910705,0.001406866
Juan Jose Rondon I,1344008,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,6,24,1100110000000013280624,175603,40692.50686,0.011425533
Juan Jose Rondon I,1344006,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,1,1100110000000013280501,175529,1711.802487,0.001715746
Juan Jose Rondon I,1344007,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,5,25,1100110000000013280525,175504,1745.831869,0.001745683
Juan Jose Rondon I,1344009,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,6,19,1100110000000013280619,175593,431.6857871,0.000757868
Juan Jose Rondon I,1344013,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,6,5,1100110000000013280605,175641,1438.786232,0.001514811
Juan Jose Rondon I,1344014,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,6,15,1100110000000013280615,175674,1438.890623,0.001515015
Juan Jose Rondon I,1344015,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,6,11,1100110000000013280611,175709,1438.782631,0.001514872
Juan Jose Rondon I,1344018,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,6,20,1100110000000013280620,175700,863.2823535,0.001083149
Juan Jose Rondon I,1344019,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,6,21,1100110000000013280621,175689,863.2118537,0.001083159
Juan Jose Rondon I,1344095,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,6,23,1100110000000013280623,175763,10118.85529,0.00379399
Juan Jose Rondon I,1344042,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,7,21,1100110000000013280721,175719,376.0786475,0.000832482
Juan Jose Rondon I,1344045,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,7,13,1100110000000013280713,175799,1213.107589,0.001363333
Juan Jose Rondon I,1344047,1344,LOS SOCHES,11,11001,1,5,USME,52,La Flora,0,0,11001000,1328,7,26,1100110000000013280726,175871,804.5523731,0.001077101
