SCACODIGO,SCATIPO,SCANOMBRE,LENGTH,AREA,SCAT_DENSP
102312,1,CIUDAD LONDRES RURAL,3265.855334,362493.7645,
1345,0,DONA LILIANA,1139.439922,80032.4132,158.1859086
1336,0,JUAN JOSE RONDON I,1583.446695,98599.5657,190.3659501
1347,0,JUAN REY SUR,2332.20531,233078.9251,206.7110958
1348,0,LA CABANA,2021.186483,178902.5046,109.3332932
2633,0,LAS VIOLETAS,1294.722058,72787.8909,55.22896667
102211,1,LILIANA,2891.866981,393345.6302,
1344,0,LOS SOCHES,1726.218881,121873.1748,93.37575741
1337,0,SAN PEDRO SUR,2059.362009,161752.311,75.54760685
102407,1,TIBAQUE SUR,2223.65784,166050.1792,
1340,0,TIHUAQUE,2483.393847,172328.2951,105.5543432
101307,1,TIHUAQUE RURAL,3940.328834,294705.9909,
102412,1,TOCAIMITA SUR,1976.455843,167187.272,1.734581805
1335,0,VILLA DIANA,2077.719548,171694.5341,211.3055037
